"participant","n_trial","slow10000","num.300","num.400","mean.tot","p_correct_block.practice_MappingA","p_correct_block.practice_MappingB","p_correct_block.test_MappingA","p_correct_block.test_MappingB","p_correct_bpool.practice","p_correct_bpool.test","prop_correct_cond.MappingA","prop_correct_cond.MappingB","p_correct_tot","d_practice_3","d_test_3","dscore_3","cond_ord","legendMappingA","legendMappingB"
"1",120,0,0,0,1223.31666666667,1,1,1,1,1,1,1,1,1,0.638882447180023,0.79657157479991,0.717727010989967,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"10",120,0,1,4,742.266666666667,1,0.8,0.95,0.75,0.9,0.85,0.966666666666667,0.766666666666667,0.866666666666667,1.02002453508369,0.863654387426916,0.941839461255304,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"11",120,0,1,1,960.766666666667,1,0.9,1,0.9,0.95,0.95,1,0.9,0.95,1.53136718601841,1.14902036669763,1.34019377635802,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"12",120,0,0,0,1067.05833333333,1,0.8,0.975,0.75,0.9,0.8625,0.983333333333333,0.766666666666667,0.875,0.708997211245535,1.00266220866403,0.855829709954782,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"13",120,0,0,2,814.708333333333,0.95,0.9,0.925,0.85,0.925,0.8875,0.933333333333333,0.866666666666667,0.9,0.442551428969645,0.786998385660775,0.61477490731521,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"14",120,0,0,3,834.316666666667,1,0.55,0.925,0.85,0.775,0.8875,0.95,0.75,0.85,1.49419615559217,1.26640414886684,1.3803001522295,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"15",120,0,0,0,753.9,1,0.95,0.975,0.85,0.975,0.9125,0.983333333333333,0.883333333333333,0.933333333333333,0.638378240568189,0.937038164854034,0.787708202711112,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"16",120,0,0,0,996.225,0.95,0.85,0.85,0.925,0.9,0.8875,0.883333333333333,0.9,0.891666666666667,1.15721681306978,0.112138621946081,0.634677717507933,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"17",120,0,0,0,1049.46666666667,1,0.85,1,0.9,0.925,0.95,1,0.883333333333333,0.941666666666667,1.34010817992181,1.23772028036651,1.28891423014416,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"18",120,0,0,0,956.958333333333,1,0.95,0.95,0.825,0.975,0.8875,0.966666666666667,0.866666666666667,0.916666666666667,1.10197525680633,1.03624706326988,1.0691111600381,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"19",120,0,0,11,623.175,1,0.8,0.95,0.9,0.9,0.925,0.966666666666667,0.866666666666667,0.916666666666667,1.21707913572174,0.789533108782379,1.00330612225206,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"2",120,0,0,5,794.366666666667,1,0.9,1,0.9,0.95,0.95,1,0.9,0.95,1.22957400363975,1.34060893533182,1.28509146948579,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"20",120,0,0,0,854.3,1,0.85,1,0.9,0.925,0.95,1,0.883333333333333,0.941666666666667,0.891250340861482,0.966887556557052,0.929068948709267,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"21",120,0,0,0,835.25,1,0.9,0.95,0.8,0.95,0.875,0.966666666666667,0.833333333333333,0.9,1.17802338152808,0.707649488378548,0.942836434953316,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"22",120,0,0,0,861.933333333333,0.95,0.85,0.9,0.9,0.9,0.9,0.916666666666667,0.883333333333333,0.9,1.21978808464747,0.228896509024539,0.724342296836006,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"23",120,0,0,0,813.283333333333,1,0.8,0.975,0.925,0.9,0.95,0.983333333333333,0.883333333333333,0.933333333333333,1.19577578073491,1.11381725124663,1.15479651599077,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"24",120,0,0,0,765.758333333333,0.95,1,0.975,0.825,0.975,0.9,0.966666666666667,0.883333333333333,0.925,-0.0681709359732042,0.556905724339665,0.24436739418323,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"25",120,0,0,0,1051.79166666667,1,0.85,0.975,0.75,0.925,0.8625,0.983333333333333,0.783333333333333,0.883333333333333,1.00044826681209,1.33308609439144,1.16676718060176,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"26",120,0,0,0,778.183333333333,1,0.8,0.925,0.825,0.9,0.875,0.95,0.816666666666667,0.883333333333333,0.961144531672676,0.819147793009267,0.890146162340972,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"27",120,0,0,0,831.175,0.95,0.8,0.975,0.925,0.875,0.95,0.966666666666667,0.883333333333333,0.925,1.30872086286353,1.09058164966063,1.19965125626208,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"28",120,0,0,7,884.033333333333,0.95,0.55,0.9,0.625,0.75,0.7625,0.916666666666667,0.6,0.758333333333333,1.36248575233174,1.32485137897239,1.34366856565207,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"29",120,0,2,21,566.416666666667,0.95,0.95,0.875,0.85,0.95,0.8625,0.9,0.883333333333333,0.891666666666667,0.922892863961532,0.863792312312333,0.893342588136933,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"3",120,0,0,1,763.925,0.95,0.8,0.95,0.825,0.875,0.8875,0.95,0.816666666666667,0.883333333333333,0.220550500375239,1.06580948903849,0.643179994706865,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"30",120,0,0,1,619.308333333333,1,0.9,0.9,0.9,0.95,0.9,0.933333333333333,0.9,0.916666666666667,1.01224531574128,0.421125981160274,0.716685648450777,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"31",120,0,0,0,856.475,1,1,1,0.975,1,0.9875,1,0.983333333333333,0.991666666666667,0.244701356040704,0.331717093747845,0.288209224894274,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
